cluster_id,frame_id,z_coordinate,intensity,color_marker
3,4,-0.0686671,1.94144e+07,1
3,4,-0.0689956,9.61888e+06,1
3,4,-0.0229442,3.763e+07,1
3,4,-0.0229264,4.20396e+07,1
3,4,0.0229881,3.30194e+07,1
3,4,0.0229644,4.12909e+07,1
3,4,0.0691155,1.11232e+07,1
3,4,0.0690093,1.78195e+07,1
3,4,0.115232,1.56235e+07,1

0,5,-0.111311,983.447,0
0,5,-0.110109,2349.51,0
0,5,-0.109507,3005.15,0
0,5,-0.109238,3372.38,0
0,5,-0.109092,3571.61,0
0,5,-0.109114,3578.42,0
0,5,-0.109295,3399.23,0
0,5,-0.109594,2992.51,0
0,5,-0.11026,2255.85,0
0,5,-0.11171,541.791,0
0,5,-0.0933145,2192.14,0
0,5,-0.0927655,2953.13,0
0,5,-0.0925393,3349.34,0
0,5,-0.0924075,3556.99,0
0,5,-0.0924272,3561.11,0
0,5,-0.0925892,3366.64,0
0,5,-0.0928372,2920.84,0
0,5,-0.0934493,2076.39,0
0,5,-0.0764695,2029.98,0
0,5,-0.0760119,2883.69,0
0,5,-0.0758036,3325.57,0
0,5,-0.0756896,3545.37,0
0,5,-0.0757062,3542.94,0
0,5,-0.0758416,3314.16,0
0,5,-0.0760734,2835.32,0
0,5,-0.0765853,1892.57,0
0,5,-0.0596221,791.276,0
0,5,-0.0592252,1262.75,0
0,5,-0.0590375,1490.34,0
0,5,-0.0589425,1606.72,0
0,5,-0.0589554,1601.38,0
0,5,-0.059067,1488.97,0
0,5,-0.0592793,1214.62,0
0,5,-0.0597618,694.05,0
0,5,-0.0427365,594.43,0
0,5,-0.0423822,1215.06,0
0,5,-0.0422291,1464.63,0
0,5,-0.0421562,1601.23,0
0,5,-0.0421655,1591.82,0
0,5,-0.0422505,1473.29,0
0,5,-0.0424258,1132.02,0
0,5,-0.042858,479.52,0
0,5,-0.0257327,388.265,0
0,5,-0.0254773,1165.04,0
0,5,-0.0253738,1437.4,0
0,5,-0.0253274,1592.44,0
0,5,-0.0253327,1581.87,0
0,5,-0.0253869,1457.17,0
0,5,-0.0255064,1044.16,0
0,5,-0.00850866,1100.46,0
0,5,-0.00847032,1408.75,0
0,5,-0.00845394,1583.14,0
0,5,-0.00845559,1571.54,0
0,5,-0.00847496,1423.71,0
0,5,-0.00851938,952.156,0
0,5,0.00852519,979.371,0
0,5,0.00848294,1378.76,0
0,5,0.00846565,1573.32,0
0,5,0.0084672,1560.83,0
0,5,0.00848801,1374.98,0
0,5,0.00853692,857.34,0
0,5,0.0256313,838.022,0
0,5,0.0254875,1347.55,0
0,5,0.0254328,1563.01,0
0,5,0.0254372,1549.75,0
0,5,0.0255039,1322.83,0
0,5,0.025696,676.808,0
0,5,0.0428722,585.078,0
0,5,0.0425447,1318.77,0
0,5,0.042449,1552.21,0
0,5,0.0424558,1538.31,0
0,5,0.0425789,1263.48,0
0,5,0.0430041,293.435,0
0,5,0.0596736,2728.36,0
0,5,0.0595148,3339.22,0
0,5,0.0595327,3296.03,0
0,5,0.0597378,2495.19,0
0,5,0.0768783,2514.54,0
0,5,0.0766364,3238.99,0
0,5,0.0766671,3186.42,0
0,5,0.0769721,2163.74,0
0,5,0.0941552,2274.73,0
0,5,0.0938172,3114.79,0
0,5,0.09386,3058.37,0
0,5,0.0942836,1799.51,0
0,5,0.111506,1804.17,0
0,5,0.111056,2972.27,0
0,5,0.111113,2912.91,0
0,5,0.111801,1209.58,0
0,5,0.12913,757.366,0
0,5,0.128354,2813.09,0
0,5,0.128428,2751.85,0
0,5,0.145714,2639.63,0
0,5,0.145806,2477.88,0
0,5,0.163529,1174.31,0
0,5,0.163783,579.327,0

1,5,-0.111456,2.7915e+07,1
1,5,-0.110146,7.9517e+07,1
1,5,-0.109507,1.06586e+08,1
1,5,-0.109201,1.18964e+08,1
1,5,-0.109035,1.24778e+08,1
1,5,-0.109017,1.24995e+08,1
1,5,-0.109162,1.17875e+08,1
1,5,-0.109425,1.05821e+08,1
1,5,-0.110007,8.22416e+07,1
1,5,-0.111096,4.23307e+07,1
1,5,-0.0933962,7.28841e+07,1
1,5,-0.0928005,1.03032e+08,1
1,5,-0.0925404,1.1792e+08,1
1,5,-0.0923862,1.24107e+08,1
1,5,-0.092371,1.24485e+08,1
1,5,-0.092504,1.16209e+08,1
1,5,-0.0927278,1.03586e+08,1
1,5,-0.0932665,7.66067e+07,1
1,5,-0.0943576,2.60916e+07,1
1,5,-0.0765775,6.60906e+07,1
1,5,-0.0760691,9.85443e+07,1
1,5,-0.0758317,1.16848e+08,1
1,5,-0.075694,1.23411e+08,1
1,5,-0.0756815,1.23878e+08,1
1,5,-0.075799,1.14582e+08,1
1,5,-0.0760059,1.00107e+08,1
1,5,-0.0764618,7.08106e+07,1
1,5,-0.0597818,4.99032e+07,1
